Ort,1Stern,2Stern,3Stern,4Stern,5Stern,Secure1,Secure2,Secure3,Secure4,Secure5,
Margareten,0,2,6,11,0,0,1,5,12,1,
Olympia,0,4,6,8,1,0,2,9,6,2,
