Series,TrendMAE,YearlyMAE,WeeklyMAE,TrendRMSE,YearlyRMSE,WeeklyRMSE
S1,0.14599579706014323,0.028162202963368244,,0.18547910056249198,0.033186127830044196
S2,0.5704878894668864,0.028845482382776105,0.017850165890402236,0.7499463408387604,0.03553306292884028,0.021266859800407698
S3,0.19309014892252357,0.012300627825868393,0.03369648256603702,0.23401019891625166,0.015229112600681566,0.03766558055887121
S4,0.5324730384904042,0.3684326942065198,0.30657722427338824,0.6533635387830622,0.6012186924797019,0.335541593638772
S5,0.17855581132842788,0.08999308389480078,0.09283176304690283,0.22535491588787904,0.03553306292884028,0.1291178375193009
S6,0.20964375472454425,0.08769195050213258,0.08320642687642787,0.2549843749329032,0.10888286246844464,0.11295835447876969
S7,0.13187944083533315,0.36730878358021635,0.3075474291686865,0.2044553985437972,0.6002309497939688,0.3342049488450666



