Series,TrendMAE,YearlyMAE,WeeklyMAE,TrendRMSE,YearlyRMSE,WeeklyRMSE
S1,0.9152643959195493,0.11361848193074317,,1.190666702618029,0.11361848193074317
S2,1.1836550561132277,0.1315379853215942,0.009217820277907083,1.369680004366374,0.14823045557752254,0.010356530835744457
S3,0.43672260112229366,0.13314089059654113,0.017688875609498517,0.566244225566585,0.1489781921303307,0.019593869525381332
S4,0.20934616443832518,0.6480995489848823,1.7864108998900485,0.23646034845905914,0.907454751056473,1.9002878478156917
S5,1.4651961217758516,0.11242958495833613,0.3118580126706999,1.7773248504285974,0.15374711087820184,0.3437661861096242
S6,0.30470872398507454,0.03390119476445144,0.027361301379544494,0.35418511247467827,0.04876021179723285,0.030762990706517397
S7,0.3181523125928555,0.34902397487640957,0.39101726293777184,0.3697631857395743,0.6144926071867789,0.4088988451326799

 




