Series,TrendMAE,YearlyMAE,WeeklyMAE,TrendRMSE,YearlyRMSE,WeeklyRMSE
S1,0.04629332530876167,0.02130794904515045,,0.10160778189974609,0.4905302076397526
S2,0.21029303535028315,0.03945951911518156,0.01606913625337004,0.2360189858765596,0.04610139716695706,0.01947402600672893
S3,0.0740901233589508,0.022302610030117784,0.03907662048780367,0.0914686073661204,0.025886336675031946,0.04274318440996737
S4,0.09509214169587206,0.34238913401219356,0.050454917973418494,0.11315419520620378,0.5598376110265703,0.07039255374175116
S5,0.1076532510042656,0.026255061292579575,0.011999013257069908,0.1401653167357598,0.03217243047832647,0.013443592428801962
S6,0.08918006912004836,0.04175592908240726,0.023536894938621152,0.11144795516669104,0.05001126687006983,0.02560278008130571
S7,0.07670268156837336,0.3401376921883673,0.03287966271660749,0.09989353739595694,0.5592059529754213,0.056728443991033745


