Series,TrendMAE,YearlyMAE,WeeklyMAE,TrendRMSE,YearlyRMSE,WeeklyRMSE
S1,0.02337270167367268,0.024745687748554155,,0.030908544964748708,0.030011570167582744,
S2,0.18446748354848394,0.055831137930289945,0.019938340373128454,0.21666387927467062,0.0688971900962012,0.021629727296018465
S3,0.037751221086656676,0.01817622411445703,0.03732232000835329,0.05022652678207577,0.021658396780921876,0.05022652678207577
S4,0.08674546794911854,0.29287232776356037,0.04514974541627335,0.10508808438006012,0.4909195486303877,0.02583837837305929
S5,0.09303890020131245,0.03835905193219581,0.013412153707309695,0.11349381689550081,0.04756335048901436,0.014309584310259967
S6,0.049079603215971004,0.012869445832380283,0.02400902691550497,0.060569684820258755,0.015390810462576955,0.02583837837305929
S7,0.07303181282465349,0.29185547006039253,0.026718555097363882,0.0915327470034803,0.49019757214116977,0.05216321725203644


