,datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
10643,2021.11.09,00:00,23:59,Olympia,996,1034,2030,0.0,8.3,0.0,69,8.8
10649,2021.11.10,00:00,23:59,Olympia,950,968,1918,-0.5,8.4,0.0,75,2.6
10655,2021.11.11,00:00,23:59,Olympia,1045,1088,2133,0.3,10.6,0.0,46,8.1
10661,2021.11.12,00:00,23:59,Olympia,746,775,1521,0.4,3.9,0.0,100,0.0
10667,2021.11.13,00:00,23:59,Olympia,371,362,733,2.0,7.5,5.0,99,0.1
10673,2021.11.14,00:00,23:59,Olympia,498,519,1017,4.3,7.3,0.2,98,0.0
10679,2021.11.15,00:00,23:59,Olympia,866,887,1753,3.7,4.9,0.0,100,0.0
10685,2021.11.16,00:00,23:59,Olympia,891,935,1826,3.6,4.5,0.0,100,0.0
10691,2021.11.17,00:00,23:59,Olympia,847,898,1745,3.2,5.5,0.0,100,0.0
10697,2021.11.18,00:00,23:59,Olympia,902,913,1815,3.1,8.4,0.1,88,3.4
10703,2021.11.19,00:00,23:59,Olympia,883,894,1777,1.2,9.5,0.0,91,5.6
10709,2021.11.20,00:00,23:59,Olympia,542,575,1117,2.1,7.2,0.0,100,0.0
10715,2021.11.21,00:00,23:59,Olympia,679,727,1406,-0.4,6.9,0.1,83,4.9
10721,2021.11.22,00:00,23:59,Olympia,663,659,1322,2.3,4.5,2.8,94,0.0
10727,2021.11.23,00:00,23:59,Olympia,832,879,1711,-0.5,4.7,0.0,83,1.0
10733,2021.11.24,00:00,23:59,Olympia,754,753,1507,-1.2,0.1,0.0,88,0.0
10739,2021.11.25,00:00,23:59,Olympia,765,786,1551,-1.6,0.2,0.0,100,0.0
10745,2021.11.26,00:00,23:59,Olympia,547,533,1080,-1.6,1.0,0.5,98,0.0
10751,2021.11.27,00:00,23:59,Olympia,406,373,779,0.3,4.1,0.2,90,0.0
10757,2021.11.28,00:00,23:59,Olympia,248,230,478,-0.2,2.0,2.5,93,0.0
10763,2021.11.29,00:00,23:59,Olympia,508,502,1010,-0.9,1.1,1.2,98,0.3
10769,2021.11.30,00:00,23:59,Olympia,418,443,861,-0.6,5.0,0.7,88,0.0
10775,2021.12.01,00:00,23:59,Olympia,668,631,1299,4.6,10.0,1.6,98,1.1
10781,2021.12.02,00:00,23:59,Olympia,606,593,1199,-0.8,6.7,4.3,94,1.3
10787,2021.12.03,00:00,23:59,Olympia,507,548,1055,-1.6,1.6,3.2,75,4.6
10793,2021.12.04,00:00,23:59,Olympia,285,285,570,-1.0,8.5,9.1,90,0.0
10799,2021.12.05,00:00,23:59,Olympia,431,386,817,0.1,3.8,2.8,94,0.0
10805,2021.12.06,00:00,23:59,Olympia,559,567,1126,-0.1,1.6,1.6,100,0.0
10811,2021.12.07,00:00,23:59,Olympia,580,598,1178,-1.6,4.0,0.0,54,4.2
10817,2021.12.08,00:00,23:59,Olympia,453,554,1007,-2.2,1.3,5.1,91,0.0
10823,2021.12.09,00:00,23:59,Olympia,474,467,941,0.3,1.7,3.6,94,0.0
10829,2021.12.10,00:00,23:59,Olympia,428,442,870,-1.8,2.4,3.9,80,3.0
10835,2021.12.11,00:00,23:59,Olympia,315,253,568,0.0,2.4,0.4,93,0.0
10841,2021.12.12,00:00,23:59,Olympia,413,386,799,0.7,4.7,2.4,91,3.3
10847,2021.12.13,00:00,23:59,Olympia,576,512,1088,2.6,5.5,0.1,99,0.0
10853,2021.12.14,00:00,23:59,Olympia,668,681,1349,0.3,5.9,0.2,100,1.9
10859,2021.12.15,00:00,23:59,Olympia,671,656,1327,3.0,4.9,0.2,96,0.0
10865,2021.12.16,00:00,23:59,Olympia,650,650,1300,1.4,4.8,0.1,93,0.1
10871,2021.12.17,00:00,23:59,Olympia,639,627,1266,1.2,6.2,0.0,84,4.4
10877,2021.12.18,00:00,23:59,Olympia,335,318,653,-0.8,1.3,0.0,100,0.0
10883,2021.12.19,00:00,23:59,Olympia,374,349,723,-1.8,3.0,0.2,81,4.4
10889,2021.12.20,00:00,23:59,Olympia,526,546,1072,-2.0,3.7,0.0,58,2.7
10895,2021.12.21,00:00,23:59,Olympia,283,528,811,-5.1,-0.1,0.0,40,5.3
10901,2021.12.22,00:00,23:59,Olympia,269,464,733,-6.6,-1.6,0.0,63,4.3
10907,2021.12.23,00:00,23:59,Olympia,286,344,630,-7.5,9.0,1.7,96,1.8
10913,2021.12.24,00:00,23:59,Olympia,103,93,196,7.0,9.6,5.5,94,0.0
10919,2021.12.25,00:00,23:59,Olympia,141,130,271,2.0,9.7,7.9,99,0.2
10925,2021.12.26,00:00,23:59,Olympia,110,99,209,1.5,4.6,2.2,99,0.0
10931,2021.12.27,00:00,23:59,Olympia,364,341,705,2.1,9.4,3.2,89,3.2
10937,2021.12.28,00:00,23:59,Olympia,199,209,408,3.7,9.8,9.4,91,0.0
10943,2021.12.29,00:00,23:59,Olympia,366,365,731,6.9,11.2,11.0,94,2.3
10949,2021.12.30,00:00,23:59,Olympia,345,344,689,10.9,13.9,0.7,96,0.4
10955,2021.12.31,00:00,23:59,Olympia,631,541,1172,10.3,15.6,0.0,54,7.2
10961,2022.01.01,00:00,23:59,Olympia,604,518,1122,3.2,13.4,0.0,68,7.6
10967,2022.01.02,00:00,23:59,Olympia,609,611,1220,1.9,15.8,0.0,80,4.7
10973,2022.01.03,00:00,23:59,Olympia,476,445,921,8.7,11.5,0.7,99,0.0
10979,2022.01.04,00:00,23:59,Olympia,435,393,828,3.7,16.5,10.3,98,1.0
10985,2022.01.05,00:00,23:59,Olympia,329,359,688,0.3,3.9,1.2,95,0.4
10991,2022.01.06,00:00,23:59,Olympia,370,312,682,-1.8,2.7,0.4,81,3.3
10997,2022.01.07,00:00,23:59,Olympia,280,326,606,-4.0,1.4,2.2,68,3.6
11003,2022.01.08,00:00,23:59,Olympia,218,201,419,-1.4,2.4,2.9,73,1.8
11009,2022.01.09,00:00,23:59,Olympia,326,279,605,0.7,4.3,0.7,94,0.8
11015,2022.01.10,00:00,23:59,Olympia,591,595,1186,0.8,2.3,0.0,98,0.0
11021,2022.01.11,00:00,23:59,Olympia,621,625,1246,-1.6,2.6,0.0,79,0.1
11027,2022.01.12,00:00,23:59,Olympia,448,632,1080,-3.5,-1.1,0.0,94,0.1
11033,2022.01.13,00:00,23:59,Olympia,544,687,1231,-4.0,1.3,0.0,84,6.9
11039,2022.01.14,00:00,23:59,Olympia,637,734,1371,-4.5,8.6,0.0,13,8.5
11045,2022.01.15,00:00,23:59,Olympia,335,333,668,-3.5,-0.1,0.0,69,0.2
11051,2022.01.16,00:00,23:59,Olympia,544,512,1056,-1.8,5.1,0.1,69,7.1
11057,2022.01.17,00:00,23:59,Olympia,599,614,1213,1.4,5.6,0.2,98,0.9
11063,2022.01.18,00:00,23:59,Olympia,702,694,1396,-0.5,4.2,0.0,79,0.2
11069,2022.01.19,00:00,23:59,Olympia,717,787,1504,-2.5,7.1,0.9,44,6.4
11075,2022.01.20,00:00,23:59,Olympia,509,475,984,-1.5,3.2,3.0,88,0.4
11081,2022.01.21,00:00,23:59,Olympia,275,337,612,-2.2,1.1,0.8,85,3.3
11087,2022.01.22,00:00,23:59,Olympia,138,162,300,-0.8,1.3,2.6,98,0.0
11093,2022.01.23,00:00,23:59,Olympia,355,320,675,-1.4,4.0,0.0,79,0.6
11099,2022.01.24,00:00,23:59,Olympia,503,599,1102,-2.3,3.1,0.0,56,3.3
11105,2022.01.25,00:00,23:59,Olympia,715,691,1406,-2.0,4.3,0.0,76,5.5
11111,2022.01.26,00:00,23:59,Olympia,684,707,1391,-2.6,4.3,0.0,63,8.5
11117,2022.01.27,00:00,23:59,Olympia,621,673,1294,-2.1,7.6,1.4,90,8.6
11123,2022.01.28,00:00,23:59,Olympia,414,362,776,0.7,3.5,1.9,95,0.0
11129,2022.01.29,00:00,23:59,Olympia,410,385,795,0.7,7.2,0.0,95,1.4
11135,2022.01.30,00:00,23:59,Olympia,534,478,1012,1.9,7.7,0.3,73,5.5
11141,2022.01.31,00:00,23:59,Olympia,425,421,846,1.0,4.2,4.1,96,0.3
11147,2022.02.01,00:00,23:59,Olympia,442,398,840,0.1,3.3,3.0,98,0.0
11153,2022.02.02,00:00,23:59,Olympia,570,500,1070,2.9,6.4,3.6,91,0.8
11159,2022.02.03,00:00,23:59,Olympia,671,635,1306,2.6,9.7,0.0,98,2.6
11165,2022.02.04,00:00,23:59,Olympia,661,611,1272,1.8,7.7,0.8,74,3.0
11171,2022.02.05,00:00,23:59,Olympia,585,543,1128,0.7,6.9,0.0,41,7.9
11177,2022.02.06,00:00,23:59,Olympia,336,311,647,1.4,7.4,6.7,96,2.8
11183,2022.02.07,00:00,23:59,Olympia,520,487,1007,0.5,6.0,0.0,85,0.3
11189,2022.02.08,00:00,23:59,Olympia,691,677,1368,-0.3,9.2,0.0,61,3.3
11195,2022.02.09,00:00,23:59,Olympia,929,906,1835,0.8,11.8,0.0,23,9.7
11201,2022.02.10,00:00,23:59,Olympia,863,844,1707,1.2,13.3,3.1,48,7.7
11207,2022.02.11,00:00,23:59,Olympia,499,504,1003,-0.1,6.4,1.8,75,2.2
11213,2022.02.12,00:00,23:59,Olympia,573,567,1140,-3.0,6.3,0.0,26,9.6
11219,2022.02.13,00:00,23:59,Olympia,877,746,1623,-1.7,11.7,0.0,29,9.9
11225,2022.02.14,00:00,23:59,Olympia,729,691,1420,1.4,14.7,0.4,63,4.9
11231,2022.02.15,00:00,23:59,Olympia,571,544,1115,2.5,6.5,0.8,88,0.0
11237,2022.02.16,00:00,23:59,Olympia,684,717,1401,1.8,11.4,0.8,98,0.7
11243,2022.02.17,00:00,23:59,Olympia,470,489,959,7.2,12.6,5.6,81,1.8
11249,2022.02.18,00:00,23:59,Olympia,686,654,1340,6.4,15.5,0.2,98,0.0
11255,2022.02.19,00:00,23:59,Olympia,595,502,1097,3.3,8.2,0.0,68,5.4
11261,2022.02.20,00:00,23:59,Olympia,575,548,1123,2.5,10.4,0.0,91,3.5
11267,2022.02.21,00:00,23:59,Olympia,457,450,907,1.0,10.4,1.7,91,2.8
11273,2022.02.22,00:00,23:59,Olympia,585,580,1165,1.8,7.7,1.4,88,4.5
11279,2022.02.23,00:00,23:59,Olympia,895,874,1769,1.6,10.9,0.0,54,8.7
11285,2022.02.24,00:00,23:59,Olympia,904,824,1728,-0.1,14.3,1.2,85,8.1
11291,2022.02.25,00:00,23:59,Olympia,608,586,1194,0.9,5.5,0.2,75,4.1
11297,2022.02.26,00:00,23:59,Olympia,463,414,877,-1.1,4.4,0.0,80,4.2
11303,2022.02.27,00:00,23:59,Olympia,501,473,974,-2.1,6.1,0.0,14,9.5
11309,2022.02.28,00:00,23:59,Olympia,548,584,1132,-3.3,6.3,0.0,0,10.6
11315,2022.03.01,00:00,23:59,Olympia,564,632,1196,-4.0,7.4,0.0,16,10.7
11321,2022.03.02,00:00,23:59,Olympia,505,526,1031,-3.8,5.8,0.0,71,4.1
11327,2022.03.03,00:00,23:59,Olympia,668,649,1317,-3.8,9.2,0.0,14,10.1
11333,2022.03.04,00:00,23:59,Olympia,565,546,1111,-3.7,6.3,0.0,8,10.8
11339,2022.03.05,00:00,23:59,Olympia,404,401,805,-4.5,5.0,0.0,36,7.0
11345,2022.03.06,00:00,23:59,Olympia,469,431,900,-3.5,4.8,0.0,65,8.2
11351,2022.03.07,00:00,23:59,Olympia,538,527,1065,-3.1,1.6,0.0,64,3.2
11357,2022.03.08,00:00,23:59,Olympia,689,701,1390,-4.3,7.4,0.0,25,10.3
11363,2022.03.09,00:00,23:59,Olympia,822,810,1632,-3.9,11.9,0.0,15,11.3
11369,2022.03.10,00:00,23:59,Olympia,850,843,1693,-2.6,12.3,0.0,0,11.3
11375,2022.03.11,00:00,23:59,Olympia,776,773,1549,-2.4,10.1,0.0,13,11.0
11381,2022.03.12,00:00,23:59,Olympia,807,745,1552,-2.2,12.9,0.0,66,10.5
11387,2022.03.13,00:00,23:59,Olympia,1082,983,2065,-2.0,15.3,0.0,0,11.4
11393,2022.03.14,00:00,23:59,Olympia,955,954,1909,1.6,15.1,0.0,73,10.0
11399,2022.03.15,00:00,23:59,Olympia,682,680,1362,3.9,11.9,3.3,96,0.2
11405,2022.03.16,00:00,23:59,Olympia,758,752,1510,4.6,10.3,0.0,81,1.6
11411,2022.03.17,00:00,23:59,Olympia,741,765,1506,3.3,9.2,0.0,79,0.0
11417,2022.03.18,00:00,23:59,Olympia,806,819,1625,4.2,11.8,0.0,100,7.9
11423,2022.03.19,00:00,23:59,Olympia,750,709,1459,1.0,10.3,0.0,29,9.9
11429,2022.03.20,00:00,23:59,Olympia,1009,1004,2013,0.3,14.5,0.0,31,11.5
11435,2022.03.21,00:00,23:59,Olympia,960,985,1945,-1.0,14.4,0.0,33,11.0
11441,2022.03.22,00:00,23:59,Olympia,1178,1156,2334,-0.6,16.3,0.0,0,12.0
11447,2022.03.23,00:00,23:59,Olympia,1219,1194,2413,0.8,18.6,0.0,0,12.0
11453,2022.03.24,00:00,23:59,Olympia,1204,1226,2430,2.3,19.4,0.0,0,12.0
11459,2022.03.25,00:00,23:59,Olympia,1309,1306,2615,2.8,18.5,0.0,0,11.8
11465,2022.03.26,00:00,23:59,Olympia,1254,1168,2422,3.0,18.2,0.0,0,11.7
11471,2022.03.27,00:00,23:59,Olympia,1669,1441,3110,1.8,19.2,0.0,0,11.9
11477,2022.03.28,00:00,23:59,Olympia,1457,1344,2801,3.8,20.4,0.0,13,11.8
11483,2022.03.29,00:00,23:59,Olympia,1229,1184,2413,8.5,17.4,0.0,96,3.7
11489,2022.03.30,00:00,23:59,Olympia,760,796,1556,7.5,11.9,0.7,96,0.0
11495,2022.03.31,00:00,23:59,Olympia,773,740,1513,6.0,10.4,12.0,98,0.1
11501,2022.04.01,00:00,23:59,Olympia,379,381,760,0.2,6.3,10.0,94,0.0
11507,2022.04.02,00:00,23:59,Olympia,229,203,432,-1.5,0.3,7.4,94,0.0
11513,2022.04.03,00:00,23:59,Olympia,353,318,671,-1.7,2.3,0.1,89,2.7
11519,2022.04.04,00:00,23:59,Olympia,694,717,1411,-3.1,7.4,0.9,40,11.2
11525,2022.04.05,00:00,23:59,Olympia,527,546,1073,2.9,9.6,2.6,96,0.0
11531,2022.04.06,00:00,23:59,Olympia,1067,1105,2172,7.5,17.1,0.0,81,7.4
11537,2022.04.07,00:00,23:59,Olympia,777,762,1539,8.5,15.6,6.7,88,5.6
11543,2022.04.08,00:00,23:59,Olympia,443,461,904,6.1,15.0,6.4,91,0.6
11549,2022.04.09,00:00,23:59,Olympia,687,627,1314,1.2,13.2,0.0,83,6.2
11555,2022.04.10,00:00,23:59,Olympia,545,469,1014,1.7,8.3,0.1,85,5.3
11561,2022.04.11,00:00,23:59,Olympia,1060,1067,2127,0.2,14.7,0.0,80,12.0
11567,2022.04.12,00:00,23:59,Olympia,1357,1372,2729,2.9,19.7,0.0,96,11.6
11573,2022.04.13,00:00,23:59,Olympia,1341,1327,2668,5.1,21.3,0.0,90,11.6
11579,2022.04.14,00:00,23:59,Olympia,1179,1136,2315,8.5,22.7,3.9,75,12.6
11585,2022.04.15,00:00,23:59,Olympia,1012,935,1947,8.1,19.2,0.0,76,6.4
11591,2022.04.16,00:00,23:59,Olympia,540,516,1056,3.1,11.2,0.0,50,4.1
11597,2022.04.17,00:00,23:59,Olympia,1160,989,2149,0.4,11.8,0.0,35,13.4
11603,2022.04.18,00:00,23:59,Olympia,1069,1014,2083,0.7,14.2,0.0,63,13.5
11609,2022.04.19,00:00,23:59,Olympia,925,944,1869,3.7,15.3,0.0,78,6.0
11615,2022.04.20,00:00,23:59,Olympia,1313,1319,2632,1.3,13.6,0.0,6,13.5
11621,2022.04.21,00:00,23:59,Olympia,1278,1220,2498,3.2,16.0,0.0,23,11.1
11627,2022.04.22,00:00,23:59,Olympia,3256,1475,4731,4.6,16.1,0.0,83,9.4
11633,2022.04.23,00:00,23:59,Olympia,3440,1488,4928,6.6,14.4,0.1,94,1.5
11639,2022.04.24,00:00,23:59,Olympia,2599,1058,3657,7.7,13.0,3.9,99,1.1
11645,2022.04.25,00:00,23:59,Olympia,972,1015,1987,7.8,16.1,2.4,83,3.8
11651,2022.04.26,00:00,23:59,Olympia,815,829,1644,5.6,11.6,9.3,90,1.4
11657,2022.04.27,00:00,23:59,Olympia,1214,1267,2481,5.0,14.1,0.0,60,6.1
11663,2022.04.28,00:00,23:59,Olympia,1592,1629,3221,3.5,17.1,0.0,5,12.9
11669,2022.04.29,00:00,23:59,Olympia,1510,1435,2945,3.4,18.8,0.0,64,11.1
11675,2022.04.30,00:00,23:59,Olympia,712,660,1372,6.8,13.2,0.3,99,1.3
11681,2022.05.01,00:00,23:59,Olympia,714,649,1363,5.6,12.7,0.7,83,0.8
11687,2022.05.02,00:00,23:59,Olympia,1425,1489,2914,4.3,17.8,0.0,85,8.0
11693,2022.05.03,00:00,23:59,Olympia,1508,1574,3082,7.8,20.1,4.1,75,7.1
11699,2022.05.04,00:00,23:59,Olympia,1251,1243,2494,9.8,19.6,6.6,99,5.1
11705,2022.05.05,00:00,23:59,Olympia,1390,1400,2790,8.3,19.4,7.2,88,7.5
11711,2022.05.06,00:00,23:59,Olympia,761,791,1552,10.3,13.2,1.9,96,0.0
11717,2022.05.07,00:00,23:59,Olympia,724,767,1491,11.2,15.9,3.7,99,0.5
11723,2022.05.08,00:00,23:59,Olympia,1147,1159,2306,10.3,17.4,0.0,99,0.4
11729,2022.05.09,00:00,23:59,Olympia,1824,1917,3741,8.6,21.8,0.0,30,12.1
11735,2022.05.10,00:00,23:59,Olympia,2085,2112,4197,9.3,24.4,0.0,48,12.0
11741,2022.05.11,00:00,23:59,Olympia,2330,2273,4603,14.6,27.4,0.0,59,14.1
11747,2022.05.12,00:00,23:59,Olympia,2062,2035,4097,15.6,26.9,2.3,65,10.6
11753,2022.05.13,00:00,23:59,Olympia,999,1027,2026,12.4,19.7,43.1,73,4.7
11759,2022.05.14,00:00,23:59,Olympia,1785,1818,3603,11.2,23.1,0.0,53,12.1
11765,2022.05.15,00:00,23:59,Olympia,2054,1953,4007,9.3,24.9,0.0,44,14.4
11771,2022.05.16,00:00,23:59,Olympia,1274,1292,2566,12.6,24.0,10.4,96,6.1
11777,2022.05.17,00:00,23:59,Olympia,2097,2198,4295,13.1,23.1,0.0,75,10.4
11783,2022.05.18,00:00,23:59,Olympia,2233,2263,4496,11.3,24.9,0.0,31,14.8
11789,2022.05.19,00:00,23:59,Olympia,2349,2279,4628,10.5,29.5,0.1,68,12.4
11795,2022.05.20,00:00,23:59,Olympia,1995,1904,3899,17.2,31.9,0.6,75,13.1
11801,2022.05.21,00:00,23:59,Olympia,1642,1598,3240,13.6,23.4,0.0,61,14.1
11807,2022.05.22,00:00,23:59,Olympia,2080,1951,4031,11.6,24.4,0.0,68,12.3
11813,2022.05.23,00:00,23:59,Olympia,1241,1234,2475,13.2,26.6,25.1,84,5.5
11819,2022.05.24,00:00,23:59,Olympia,774,777,1551,12.6,15.4,10.5,98,0.0
11825,2022.05.25,00:00,23:59,Olympia,1148,1147,2295,12.3,18.6,3.6,80,4.9
11831,2022.05.26,00:00,23:59,Olympia,1856,1806,3662,10.9,21.3,0.0,41,11.1
11837,2022.05.27,00:00,23:59,Olympia,1486,1461,2947,12.1,22.6,0.4,69,8.5
11843,2022.05.28,00:00,23:59,Olympia,1324,1307,2631,7.6,16.5,0.0,60,10.7
11849,2022.05.29,00:00,23:59,Olympia,546,530,1076,5.7,14.8,1.2,73,4.2
11855,2022.05.30,00:00,23:59,Olympia,1581,1584,3165,4.4,17.6,0.0,55,10.3
11861,2022.05.31,00:00,23:59,Olympia,1429,1404,2833,8.2,22.8,0.3,66,7.9
11867,2022.06.01,00:00,23:59,Olympia,1543,1458,3001,11.9,23.2,0.9,69,7.4
11873,2022.06.02,00:00,23:59,Olympia,1846,1749,3595,12.0,22.6,0.3,73,6.9
11879,2022.06.03,00:00,23:59,Olympia,1201,1140,2341,12.5,27.4,14.1,68,8.1
11885,2022.06.04,00:00,23:59,Olympia,1906,1842,3748,13.2,26.2,0.0,53,11.6
11891,2022.06.05,00:00,23:59,Olympia,1966,1441,3407,14.5,22.7,11.3,99,3.2
11897,2022.06.06,00:00,23:59,Olympia,2045,1911,3956,12.5,25.0,5.3,68,9.5
11903,2022.06.07,00:00,23:59,Olympia,699,628,1327,13.5,18.3,7.2,94,1.5
11909,2022.06.08,00:00,23:59,Olympia,1630,1559,3189,12.8,23.7,7.2,79,9.3
11915,2022.06.09,00:00,23:59,Olympia,955,919,1874,12.0,17.3,9.4,99,1.8
11921,2022.06.10,00:00,23:59,Olympia,1396,1362,2758,11.2,21.4,0.0,54,10.6
11927,2022.06.11,00:00,23:59,Olympia,1567,1497,3064,11.2,25.0,0.0,6,14.4
11933,2022.06.12,00:00,23:59,Olympia,2300,1977,4277,14.8,28.5,10.1,3,15.4
11939,2022.06.13,00:00,23:59,Olympia,1415,1380,2795,13.4,22.9,0.0,73,9.4
11945,2022.06.14,00:00,23:59,Olympia,2047,1931,3978,11.0,23.9,0.0,31,15.0
