date,y,trend,yearly
,6.4599104,7.903672,4.9388137
,6.9645944,7.898852,5.4483175
,7.6600904,7.8940344,6.148631
,8.125772,7.8892207,6.6191263
,8.043207,7.88441,6.5413733
,7.459849,7.8796024,5.9628215
,6.795059,7.874798,5.3028364
,6.5560784,7.869997,5.0686564
,6.9598913,7.865199,5.4772673
,7.7466073,7.860405,6.268778
,8.342192,7.855613,6.8691535
,8.270516,7.8508253,6.802266
,7.518764,7.8460402,6.055299
,6.5791855,7.841259,5.120502
,6.119485,7.83648,4.66558
,6.5088644,7.831705,5.0597343
,7.54237,7.8269334,6.0980115
,8.571019,7.8221645,7.1314297
,8.952857,7.817399,7.5180335
,8.503849,7.812637,7.0737877
,7.622974,7.8078775,6.1976714
,7.000148,7.803122,5.579601
,7.1186233,7.7983694,5.702829
,7.91302,7.79362,6.501975
,8.829346,7.7888737,7.423046
,9.238384,7.784131,7.836828
,8.89579,7.7793913,7.498974
,8.11122,7.774655,6.7191405
,7.5066733,7.769922,6.1193266
,7.5485396,7.765192,6.1659226
,8.20292,7.760465,6.8250294
,8.968262,7.7557416,7.595095
,9.256205,7.7510214,7.8877583
,8.832739,7.7463045,7.46901
,7.9899483,7.7415905,6.630933
,7.3232064,7.7368803,5.968901
,7.2849603,7.7321725,5.935363
,7.851833,7.7274685,6.5069394
,8.55358,7.7227674,7.2133875
,8.838225,7.71807,7.50273
,8.494467,7.7133756,7.1636662
,7.8109846,7.708685,6.4848747
,7.352419,7.7039967,6.0309973
,7.522561,7.6993117,6.2058244
,8.24679,7.6946306,6.934735
,9.01631,7.689952,7.7089334
,9.264026,7.6852775,7.9613237
,8.790961,7.680605,7.492931
,7.922745,7.6759367,6.629383
,7.276973,7.6712713,5.9882765
,7.313392,7.6666093,6.029358
,8.00097,7.66195,6.7215943
,8.847506,7.6572948,7.572786
,9.26598,7.6526423,7.995912
,9.001425,7.647993,7.7360067
,8.30081,7.6433473,7.040038
,7.705549,7.6387043,6.4494195
,7.631678,7.634065,6.380188
,8.06029,7.629429,6.8134365
,8.572495,7.624796,7.330275
,8.696821,7.620166,7.45923
,8.2967615,7.6155396,7.0637975
,7.6945386,7.610916,6.4661975
,7.429538,7.606296,6.2058167
,7.831939,7.6016793,6.612835
,8.738956,7.5970654,7.5244656
,9.578765,7.5924554,8.368884
