date,y,trend,yearly
,0.6154388,0.59013605,0.43400246
,0.54323995,0.5899342,0.52016157
,0.4455984,0.58973247,0.5958078
,0.3953794,0.58953094,0.6028322
,0.42915118,0.58932966,0.536523
,0.5206202,0.58912855,0.44835928
,0.60129654,0.5889276,0.40622497
,0.61245525,0.58872694,0.4424262
,0.5491884,0.5885265,0.52906066
,0.46350455,0.58832616,0.5994576
,0.4244165,0.58812606,0.5993677
,0.46538103,0.58792615,0.52888656
,0.55878055,0.5877265,0.44300297
,0.63666916,0.5875269,0.41001028
,0.64195013,0.58732766,0.45912468
,0.57132673,0.5871285,0.55715334
,0.47770151,0.5869297,0.6323552
,0.4302907,0.58673096,0.6279985
,0.46277046,0.5865325,0.5454224
,0.54855263,0.58633417,0.44393015
,0.62167764,0.5861361,0.39710003
,0.6273601,0.5859382,0.43793884
,0.56363,0.5857405,0.533962
,0.4825581,0.58554304,0.6110998
,0.45017287,0.58534575,0.6088207
,0.49551567,0.58514863,0.52538884
,0.5877742,0.58495176,0.41939563
,0.65901023,0.58475506,0.36632085
,0.6555019,0.5845586,0.40249163
,0.5789002,0.58436227,0.49824578
,0.48574278,0.58416617,0.5802789
,0.44541,0.5839703,0.58640933
,0.48799717,0.5837746,0.51182413
,0.5814264,0.5835791,0.4123521
,0.6553421,0.58338386,0.36252326
,0.6539785,0.5831888,0.39995158
,0.5783123,0.58299387,0.49761584
,0.4856141,0.5827992,0.5845214
,0.44650832,0.5826047,0.59890866
,0.49169642,0.5824104,0.53392935
,0.5884088,0.5822163,0.44167316
,0.6645616,0.5820224,0.39295188
,0.6626611,0.5818288,0.42351657
,0.5831429,0.5816353,0.5073932
,0.48455703,0.581442,0.57730556
,0.44031715,0.58124894,0.576465
,0.4841494,0.58105606,0.5023008
,0.58511543,0.58086336,0.4088773
,0.6707158,0.5806709,0.36606413
,0.6807261,0.5804786,0.40634337
,0.6116198,0.5802865,0.4996144
,0.5182191,0.58009464,0.5753065
,0.47197372,0.579903,0.5753731
,0.5071875,0.5797115,0.4982871
,0.59570676,0.5795202,0.40073043
,0.66896105,0.57932913,0.35541123
,0.6703476,0.5791383,0.39649853
,0.59833056,0.5789476,0.49363902
,0.507647,0.5787571,0.5742123
,0.46768785,0.57856685,0.57734185
,0.50979114,0.57837677,0.49932846
,0.6030622,0.5781869,0.39653528
,0.677427,0.5779972,0.34357244
,0.67647755,0.5778078,0.378047
,0.6003239,0.5776185,0.47310233
,0.50606704,0.5774294,0.5580632
,0.46517402,0.5772406,0.5714525
,0.50981134,0.5770519,0.5065373
,0.6084404,0.5768634,0.41540816
,0.6889379,0.5766752,0.36890537
,0.692321,0.57648706,0.40286124
,0.6165806,0.5762992,0.49122515
,0.517993,0.57611156,0.5661754
,0.46903914,0.5759241,0.5698105
,0.5043567,0.5757368,0.49824795
,0.59551316,0.5755498,0.40478262
,0.6730206,0.5753629,0.35974222
,0.6789104,0.57517624,0.3973705
,0.6102644,0.5749898,0.4898522
,0.52082187,0.57480353,0.5680845
,0.47986588,0.57461745,0.5735491
,0.51954556,0.5744316,0.5021901
,0.61043036,0.5742459,0.4072651
,0.6838237,0.57406044,0.35909492
,0.68382025,0.5738752,0.39212385
,0.6096307,0.5736902,0.47922143
,0.5164277,0.5735053,0.5525427
,0.47374514,0.5733206,0.5550957
,0.5131385,0.57313615,0.4839803
,0.60451007,0.5729519,0.39257818
,0.6789401,0.57276785,0.35000634
,0.6809045,0.57258403,0.3884841
,0.61011535,0.57240033,0.47848105
,0.52153265,0.57221687,0.5506098
,0.48354608,0.57203364,0.5479377
,0.5258607,0.5718506,0.4693325
,0.6168659,0.57166773,0.3710584
,0.68757176,0.5714851,0.32518202
,0.68409044,0.57130265,0.36587456
,0.6089697,0.5711204,0.4638809
,0.5196061,0.57093835,0.54833573
,0.48494378,0.5707565,0.55956537
,0.53282815,0.5705748,0.49326277
,0.62808347,0.5703934,0.40296093
,0.6983572,0.5702121,0.3591289
,0.6885717,0.5700311,0.3958397
,0.6030941,0.5698502,0.4852435
,0.5035217,0.5696696,0.5590396
,0.46316534,0.5694891,0.5606315
,0.5122757,0.5693089,0.48845792
,0.6148199,0.5691289,0.3976087
,0.69485986,0.568949,0.35832202
,0.69295114,0.56876934,0.40259117
,0.6105566,0.5685899,0.4992672
,0.50922173,0.5684107,0.57672924
,0.46473974,0.56823164,0.5764087
,0.51060814,0.56805277,0.4970685
,0.6129404,0.56787413,0.39644203
,0.6955154,0.56769574,0.3486805
,0.6965833,0.56751746,0.3891985
,0.61474216,0.5673394,0.48807886
,0.5098021,0.5671616,0.57197034
,0.4580828,0.56698394,0.5782561
,0.4954691,0.5668065,0.5012264
,0.5910748,0.5666293,0.39602515
,0.6709995,0.56645226,0.33767706
,0.6740987,0.5662754,0.36590683
,0.5980727,0.56609875,0.4567777
,0.5010753,0.5659223,0.5418383
,0.45772764,0.56574607,0.5598649
,0.5026559,0.56557006,0.50216264
,0.6039566,0.5653942,0.41769505
,0.6866958,0.56521857,0.37483054
,0.6888619,0.56504315,0.40910697
,0.6077605,0.5648679,0.4966074
,0.5023389,0.5646929,0.57279104
,0.4493233,0.5645181,0.5820852
,0.48624766,0.56434345,0.5203283
,0.58380616,0.564169,0.43779317
,0.6680682,0.56399477,0.40059802
,0.6759662,0.5638207,0.43997493
,0.60220355,0.5636469,0.52809536
,0.50274277,0.5634733,0.59897864
,0.45251715,0.5632999,0.59872484
,0.48903248,0.5631266,0.52692336
,0.5844701,0.5629536,0.4376127
,0.66686016,0.5627808,0.39873368
,0.67422736,0.5626082,0.44054663
,0.60108536,0.56243575,0.5320723
,0.5021569,0.5622635,0.6036712
,0.4510486,0.56209147,0.5991136
,0.48490587,0.5619197,0.5181142
,0.5767248,0.561748,0.41726235
,0.6561015,0.5615766,0.36842287
,0.6624508,0.5614054,0.40561926
,0.590598,0.56123435,0.50010365
,0.49441773,0.5610636,0.58216286
,0.4458663,0.56089294,0.5931868
,0.48064712,0.56072253,0.52887714
,0.57122886,0.5605523,0.44131353
,0.64780235,0.5603823,0.39868253
,0.6511421,0.5602125,0.433364
,0.57748103,0.56004286,0.517708
,0.48156855,0.55987346,0.58574116
,0.43541777,0.5597042,0.5841751
,0.47396615,0.5595352,0.51383126
,0.5685067,0.5593664,0.4298097
,0.6479085,0.5591978,0.3999996
,0.65174854,0.55902934,0.45322663
,0.57558537,0.55886114,0.5564297
,0.47422516,0.5586931,0.6385139
,0.42078805,0.5585253,0.6432624
,0.4523136,0.5583577,0.5715293
,0.54258394,0.5581903,0.4807409
,0.6225544,0.5580231,0.4417586
,0.63239545,0.5578561,0.4854063
,0.5661402,0.55768925,0.5789428
,0.47527242,0.55752265,0.65048265
,0.42892057,0.55735624,0.64326304
,0.46110767,0.55719006,0.55899876
,0.5450105,0.557024,0.457472
,0.61373794,0.5568582,0.4122311
,0.6116984,0.5566926,0.45533594
,0.5373496,0.5565272,0.55261964
,0.44501078,0.55636203,0.62836796
,0.40385506,0.556197,0.6214062
,0.44531298,0.5560322,0.5309323
,0.538681,0.5558676,0.41781893
,0.61361814,0.55570316,0.36013564
,0.61299604,0.55553895,0.3957196
,0.53605324,0.555375,0.49431947
,0.43933615,0.5552112,0.57990795
,0.3944546,0.5550476,0.5865506
,0.4341048,0.5548842,0.5064478
,0.5272875,0.55472094,0.39481574
,0.6023878,0.554558,0.3284896
,0.60102355,0.5543952,0.34940147
,0.52237993,0.55423254,0.43489897
,0.4243096,0.5540702,0.5163829
,0.38042617,0.553908,0.53152496
,0.42493373,0.553746,0.47054034
,0.52656585,0.55358416,0.38205284
,0.61137396,0.5534226,0.33487058
,0.61735743,0.55326116,0.36516953
,0.5402592,0.5531,0.44919336
,0.4364593,0.552939,0.5218719
,0.38078764,0.5527782,0.52682114
,0.41103446,0.5526176,0.45950553
,0.5005548,0.5524572,0.37073934
,0.5790341,0.552297,0.3279497
,0.5857998,0.552137,0.36373228
,0.51521623,0.5519773,0.45086643
,0.4203512,0.55181766,0.5228541
,0.37247008,0.5516583,0.524465
,0.40695387,0.55149907,0.4539319
,0.49677584,0.5513401,0.36465442
,0.5731594,0.5511813,0.3249067
,0.5777791,0.5510227,0.36590555
,0.5070631,0.55086434,0.45758444
,0.4148833,0.55070615,0.5306354
,0.37176418,0.55054814,0.52845174
,0.41135383,0.55039036,0.44990692
,0.5045742,0.55023277,0.3506182
,0.58125615,0.5500754,0.3015213
,0.5827918,0.54991823,0.3357603
,0.5064995,0.54976124,0.42383152
,0.40805662,0.5496044,0.49576125
,0.3600827,0.5494479,0.4937841
,0.39795953,0.5492915,0.41598937
,0.49340796,0.5491353,0.3181182
,0.575709,0.54897934,0.2720872
,0.58452916,0.54882354,0.3123005
,0.51458097,0.54866797,0.40997985
,0.41896322,0.5485126,0.49468884
,0.3686307,0.5483574,0.50680095
,0.3989343,0.5482024,0.4415038
,0.48345643,0.54804766,0.35142815
,0.55468076,0.54789305,0.3062188
,0.5558596,0.5477387,0.33975142
,0.48447755,0.54758453,0.42487496
,0.39450645,0.5474305,0.49462426
,0.35568386,0.54727674,0.49365526
,0.4003262,0.5471232,0.4207818
,0.49821293,0.54696983,0.33024108
,0.5785004,0.54681665,0.29059112
,0.58246386,0.5466637,0.33233756
,0.50749475,0.5465109,0.42410994
,0.40921164,0.54635835,0.49577978
