date,y,trend,yearly
,0.41008472,0.46266833,0.4041934
,0.34750292,0.46271136,0.3415686
,0.31954503,0.46275434,0.31356776
,0.33369404,0.4627972,0.3276739
,0.3795928,0.46284002,0.37352982
,0.4359465,0.46288276,0.42984077
,0.48254532,0.4629254,0.47639698
,0.51039654,0.46296796,0.5042056
,0.5239489,0.46301046,0.51771545
,0.53427464,0.4630529,0.5279988
,0.5480531,0.46309525,0.5417348
,0.5603336,0.4631375,0.55397314
,0.5568603,0.46317974,0.55045766
,0.52517086,0.46322185,0.51872605
,0.46697155,0.4632639,0.4604847
,0.40227753,0.46330586,0.3957487
,0.36054987,0.46334776,0.3539791
,0.36295158,0.46338958,0.35633904
,0.40695226,0.46343133,0.400298
,0.4644996,0.463473,0.45780364
,0.49699348,0.46351457,0.49025595
,0.4791006,0.4635561,0.47232157
,0.41651395,0.46359754,0.40969345
,0.3453308,0.4636389,0.33846894
,0.31184065,0.46368018,0.30493754
,0.34429595,0.4637214,0.33735156
,0.43419772,0.46376255,0.42721224
,0.53938586,0.4638036,0.5323593
,0.6077605,0.46384457,0.600693
,0.60734963,0.4638855,0.6002412
,0.54426044,0.46392635,0.5371111
,0.45767632,0.46396708,0.45048627
,0.395527,0.46400777,0.38829625
,0.3864169,0.4640484,0.37914556
,0.42512792,0.46408892,0.41781604
,0.4796943,0.46412936,0.47234198
,0.5140551,0.46416974,0.5066623
,0.5108667,0.46421003,0.5034337
,0.48003516,0.46425027,0.47256193
,0.44871098,0.46429044,0.44119757
,0.44072038,0.4643305,0.43316692
,0.45964175,0.46437052,0.4520483
,0.48639008,0.46441042,0.47875667
,0.4921482,0.46445027,0.48447496
,0.45773804,0.46449006,0.45002502
,0.38715863,0.46452975,0.3794059
,0.30747968,0.4645694,0.29968733
,0.2558486,0.4646089,0.24801673
,0.2614069,0.4646484,0.25353557
,0.3315665,0.4646878,0.32365578
,0.44856018,0.4647271,0.4406101
,0.5765576,0.46476635,0.5685682
,0.67536145,0.4648055,0.667333
,0.71519893,0.4648446,0.7071314
,0.6876781,0.46488363,0.6795715
,0.6093165,0.46492258,0.601171
,0.5157727,0.46496144,0.5075883
,0.44760346,0.4650002,0.4393803
,0.43222177,0.46503893,0.42395988
,0.47007266,0.46507758,0.4617721
,0.5331684,0.46511614,0.52482927
,0.5790753,0.46515462,0.5706977
