date,y,trend,yearly
,0.4318304,0.48669294,0.4330868
,0.5040289,0.48666054,0.50531775
,0.5650084,0.48662814,0.56632966
,0.57414204,0.48659572,0.5754957
,0.5298989,0.48656327,0.531285
,0.46765205,0.48653078,0.46907064
,0.43219116,0.48649827,0.43364224
,0.44545564,0.48646575,0.44693923
,0.4922798,0.4864332,0.49379596
,0.53312534,0.48640063,0.5346741
,0.5333906,0.486368,0.5349719
,0.4878767,0.48633537,0.48949072
,0.4236606,0.48630273,0.42530724
,0.3807304,0.48627004,0.38240972
,0.3851858,0.48623732,0.38689783
,0.4337244,0.4862046,0.43546918
,0.4986703,0.48617184,0.50044787
,0.5477822,0.48613906,0.5495925
,0.56370854,0.48610628,0.56555164
,0.5503675,0.4860734,0.5522434
,0.52467006,0.48604056,0.5265789
,0.50265616,0.4860077,0.50459784
,0.49135196,0.4859748,0.49332654
,0.4907843,0.48594183,0.49279183
,0.50116056,0.48590887,0.50320107
,0.5263241,0.48587587,0.52839756
,0.56919664,0.48584288,0.5713031
,0.6235982,0.48580983,0.6257378
,0.6716449,0.48577678,0.6738175
,0.69213724,0.4857437,0.6943429
,0.67566127,0.4857106,0.6779001
,0.63466597,0.48567745,0.63693786
,0.59851784,0.48564428,0.6008229
,0.594281,0.48561108,0.5966193
,0.6258463,0.48557788,0.6282178
,0.6673808,0.48554465,0.6697855
,0.6781311,0.4855114,0.6805691
,0.63011557,0.48547807,0.6325869
,0.52962095,0.48544478,0.53212553
,0.41632432,0.48541144,0.41886225
,0.3391449,0.4853781,0.3417162
,0.32491958,0.48534468,0.32752427
,0.36198354,0.48531127,0.36462164
,0.4106806,0.48527783,0.41335213
,0.43343377,0.48524436,0.43613878
,0.4223926,0.48521087,0.42513108
,0.40397662,0.48517737,0.4067486
,0.41649136,0.4851438,0.41929692
,0.4773307,0.48511025,0.48016983
,0.56491643,0.48507667,0.56778914
,0.6304548,0.48504302,0.6333611
,0.6325721,0.4850094,0.6355121
,0.5699613,0.48497573,0.572935
,0.48701596,0.48494202,0.4900233
,0.44602144,0.4849083,0.4490625
,0.48389906,0.48487458,0.48697388
,0.583958,0.4848408,0.5870666
,0.683887,0.484807,0.68702936
,0.7161628,0.4847732,0.719339
,0.653779,0.48473933,0.656989
,0.5295414,0.48470548,0.5327853
